Mäkipää	マキパー
Mäkitammi	マキタンミ
Makkonen	マッコネン
Malinen	マリネン
Malkamäki	マルカマキ
Mälkki	マルッキ
Malvalehto	マルヴァレフト
Männikkö	マンニッコ
Mannila	マンニラ
Manninen	マンニネン
Mannisenmäki	マンニセンマキ
Männistö	マンニスト
Mansikka	マンシッカ
Mantere	マンテレ
Mantila	マンティラ
Mäntyjärvi	マンテュヤルヴィ
Mäntylä	マンテュラ
Mäntymaa	マンテュマー
Mäntyniemi	マンテュニエミ
Mäntysaari	マンテュサーリ
Marjaana	マルヤーナ
Marjamaa	マルヤマー
Marjaranta	マルヤランタ
Marjo	マルヨ
Markko	マルッコ
Markkula	マルックラ
Markuksela	マルククセラ
Martikainen	マルティカイネン
Martola	マルトラ
Martonen	マルトネン
Marttila	マルッティラ
Marttinen	マルッティネン
Matikainen	マティカイネン
Matinsalo	マティンサロ
Mattila	マッティラ
Mattjus	マッティユス
Maukonen	マウコネン
Mäyrä	マユラ
Melasniemi	メラスニエミ
Merelä	メレラ
Merikanto	メリカント
Merikoski	メリコスキ
Merilahti	メリラハティ
Meriläinen	メリライネン
Meriluoto	メリルオト
Merinen	メリネン
Merta	メルタ
Mertanen	メルタネン
Metsälä	メッツァラ
Metsäraukola	メッツァラウコラ
Mettälä	メッタラ
Mielonen	ミエロネン
Mieto	ミエト
Miettinen	ミエッティネン
Miettunen	ミエットゥネン
Mikkola	ミッコラ
Mikkonen	ミッコネン
Minkkinen	ミンッキネン
Moilanen	モイラネン
Mölsä	モルサ
Mönkäre	モンカレ
Mönkkönen	モンッコネン
Mononen	モノネン
Monto	モント
Möttölä	モットラ（モットーラ）
Muhonen	ムホネン
Muikku	ムイック
Mukka	ムッカ
Multala	ムルタラ
Muokkaa	ムオッカー
Muotka	ムオトゥカ
Murto	ムルト
Murtomaa	ムルトマー
Murtomäki	ムルトマキ
Murtonen	ムルトネン
Mustonen	ムストネン
Mutka	ムトゥカ
Muttilainen	ムッティライネン
Muukkonen	ムーッコネン
Muuri	ムーリ
Muurinen	ムーリネン
Mykrä	ミュクラ
Mylläri	ミュッラリ
Myllylä	ミュッリュラ
Myllyniemi	ミュッリュニエミ
Myllys	ミュッリュス
Myyryläinen	ミューリュライネン
Naalisvaara	ナーリスヴァーラ
Naaralainen	ナーラライネン
Näränen	ナラネン
Närhi	ナルヒ
Närvänen	ナルヴァネン
Nättinen	ナッティネン
Naukkarinen	ナウッカリネン（ナウカリネン）
Nenonen	ネノネン
Nevalainen	ネヴァライネン
Nevonmaa	ネヴォンマー
Niemelä	ニエメラ
Niemi	ニエミ
Nieminen	ニエミネン
Niemisalo	ニエミサロ
Niilola	ニーロラ
Niinikoski	ニーニコスキ
Niinimaa	ニーニマー
Niinistö	ニーニスト
Nikamo	ニカモ
Nikkanen	ニッカネン
Nikkari	ニッカリ
Nikki	ニッキ
Nikkilä	ニッキラ
Nikkola	ニッコラ
Nikula	ニクラ
Nikulainen	ニクライネン
Nimonen	ニモネン
Nirkkonen	ニルッコネン
Niskala	ニスカラ
Niskanen	ニスカネン
Niskavaara	ニスカヴァーラ
Nissilä	ニッシラ
Nissinen	ニッシネン
Nisula	ニスラ
Niukkanen	ニウッカネン
Nokelainen	ノケライネン
Nokkala	ノッカラ
Noronen	ノロネン
Norrena	ノッレナ
Nousiainen	ノウシアイネン
Nummela	ヌンメラ
Nummelin	ヌンメリン（ニュメリン）
Nummi	ヌンミ
Numminen	ヌンミネン
Nuolijärvi	ヌオリヤルヴィ
Nuora	ヌオラ
Nuoranne	ヌオランネ
Nuorela	ヌオレラ
Nurmela	ヌルメラ
Nurmenkari	ヌルメンカリ
Nurmesniemi	ヌルメスニエミ
Nurmi	ヌルミ
Nurminen	ヌルミネン
Nuutinen	ヌーティネン
Nuuttila	ヌーッティラ
Nykänen	ニュカネン
Nyyssönen	ニューッソネン
Oikarinen	オイカリネン
Oinonen	オイノネン
Oittinen	オイッティネン
Oja	オヤ
Ojajärvi	オヤヤルヴィ
Ojala	オヤラ
Ojanen	オヤネン
Ojanperä	オヤンペラ
Ojansuu	オヤンスー
Okkonen	オッコネン
Oksala	オクサラ
Oksanen	オクサネン
Olamo	オラモ
Olkkonen	オルッコネン
Ollanketo	オッランケト
Ollanketto	オッランケット
Olli	オッリ
Ollila	オッリラ
Oramo	オラモ
Orasmaa	オラスマー
Otala	オタラ
Otila	オティラ
Otsamo	オッツァモ
Outinen	オウティネン
Ovaskainen	オヴァスカイネン
Paaja	パーヤ
Paajanen	パーヤネン
Pääkallo	パーカッロ
Paakkanen	パーッカネン
Paakkari	パーッカリ
Paakkinen	パーッキネン
Pääkkönen	パーッコネン
Paananen	パーナネン
Paarma	パールマ
Paasikivi	パーシキヴィ
Paasikoski	パーシコスキ
Paasilinna	パーシリンナ
Paasio	パーシオ
Paasivirta	パーシヴィルタ
Paasivuori	パーシヴオリ
Paaso	パーソ
Paasonen	パーソネン
Päätalo	パータロ
Paatelainen	パーテライネン
Paatelma	パーテルマ
Paatero	パーテロ
Paavilainen	パーヴィライネン
Paavola	パーヴォラ
Paavolainen	パーヴォライネン
Paija	パイヤ
Päivärinta	パイヴァリンタ
Päivinen	パイヴィネン
Pajamäki	パヤマキ
Pajari	パヤリ
Pajarin	パヤリン
Paju	パユ
Pajunen	パユネン
Pakarinen	パカリネン
Pakka	パッカ
Pakkanen	パッカネン
Palen	パレン
Palkki	パルッキ
Pallasmaa	パッラスマー
Palmu	パルム
Palo	パロ
Paloheimo	パロヘイモ
Palojärvi	パロヤルヴィ
Palokangas	パロカンナス
Palolahti	パロラハティ
Palomäki	パロマキ
Palonen	パロネン
Paloniemi	パロニエミ
Paloranta	パロランタ
Palva	パルヴァ
Pälviä	パルヴィア
