Verdugo	ベルドゥゴ
Verduzco	ベルドゥスコ
Vergara	ベルガラ
Vicario	ビカリオ
Vicente	ビセンテ
Vico	ビコ
Victoria	ビクトリア
Vidal	ビダル
Vidiella	ビディエージャ、ビディエーリャ
Vidriales	ビドリアレス
Viera	ビエラ
Vigil	ビヒル
Vilar	ビラール
Vilariño	ビラリーニョ
Vilhena	ビルエナ
Villa	ビジャ
Villacañas	ビジャカーニャス
Villagómez	ビジャゴメス
Villalobos	ビジャロボス
Villalón	ビジャロン
Villalpando	ビジャルパンド
Villanueva	ビジャヌエバ
Villareal	ビジャレアル
Villarejo	ビジャレホ
Villarreal	ビジャルレアル
Villaseñor	ビジャセニョル
Villaverde	ビジャベルデ
Villegas	ビジェガス
Viñes	ビニェス
Vives	ビーベス、ビベス
Vizcaino	ビスカイーノ
Ximénez	シメネス
Yagüe	ジャグエ
Yanes	ジャネス
Yáñez	ジャニェス
Ybarra	イバラ、イバルラ
Yepes	ジェーペス
Yuste	ジュステ
Zabaleta	サバレタ
Zabara	サバラ
Zafra	サフラ
Zambrano	サンブラノ
Zamora	サモラ
Zamudio	サムディオ
Zapata	サパタ
Zapatero	サパテロ
Zaragoza	サラゴサ
Zarate	サラテ
Zavala	サバラ
Zayas	サジャス
Zelaya	セラジャ
Zepeda	セペダ
Zevallos	セバージョス、セバーリョス
Ziganda	シガンダ
Zorrilla	ソリジャ
Zuazo	スアソ
Zubizarreta	スビサレタ
Zúñiga	スニガ
Zurbarán	スルバラン
