Abate	アバーテ
Corti	コルティ
Cortinovis	コルティノーヴィス
Corvisieri	コルヴィジエリ
Coscioni	コショーニ
Cosentino	コゼンティーノ
Cossotto	コッソット
Cossutta	コッスッタ
Costa	コスタ
Costacurta	コスタクルタ
Costantini	コスタンティーニ
Costantino	コスタンティーノ
Costanzo	コスタンツォ
Costazza	コスタッツァ
Cotogni	コトーニ
Cottinelli	コッティネッリ
Coveri	コヴェリ
Cozzi	コッツィ
Crasso	クラッソ
Cravero	クラヴェロ
Crepaldi	クレパルディ
Crescenzi	クレッシェンツィ
Crestani	クレスターニ
Creti	クレーティ
Crimi	クリミ
Crippa	クリッパ
Cristiani	クリスティアーニ
Cristinelli	クリスティネッリ
Cristoforetti	クリストフォレッティ
Crocco	クロッコ
Croce	クローチェ
Cuccarini	クッカリーニ
Cucchi	クッキ
Cuccureddu	クックレッドゥ
Cucinotta	クチノッタ
Cupisti	クピスティ
Curci	クルチ
Curione	クリオーネ
Curzio	クールツィオ
D'Addario	ダッダーリオ
D'Agostino	ダゴスティーノ
D'Albora	ダルボラ
D'Alema	ダレーマ
D'Alessio	ダレッシオ
D'Alfonso	ダルフォンソ
D'Alia	ダリア
D'Amato	ダマート
D'Amico	ダミーコ
D'Angelo	ダンジェロ
D'Antoni	ダントーニ
D'Aquino	ダクウィーノ
D'Arienzo	ダリエンツォ
D'Avolio	ダヴォーリオ
D'Avorio	ダヴォーリオ
D'India	ディンディア
D'Onghia	ドンギア
D'Orazi	ドラーツィ
D'Orazio	ドラーツィオ
D'Orsi	ドルシ
Dainelli	ダイネッリ
Dalberto	ダルベルト
Daldossi	ダルドッシ
Dalessandro	ダレッサンドロ
Dalessio	ダレッシオ
Dall'Aglio	ダッラリーヨ
Dall'Argine	ダッラルジーネ
Dalla Chiesa	ダッラ・キエーザ
Dalla Rizza	ダッラ・リッツァ
Dallapiccola	ダッラピッコラ
Damerini	ダメリーニ
Damiani	ダミアーニ
Dandini	ダンディーニ
Dandolo	ダンドロ
Danieli	ダニエリ
Daolio	ダオーリオ
Dapporto	ダッポールト
Davia	ダヴィア
De Benedictis	デ・ベネディクティス
De Bono	デ・ボーノ
De Cecco	デ・チェッコ
De Chirico	デ・キリコ
De Corato	デ・コラート
De Fabiani	デ・ファビアーニ
De Feo	デ・フェオ
De Gasperi	デ・ガスペリ
De Giovanni	デ・ジョヴァンニ
De Laurentiis	デ・ラウレンティース
De Laurentis	デ・ラウレンティス
De Lorenzi	デ・ロレンツィ
De Luca	デ・ルカ
De Lucchi	デ・ルッキ
De Macchi	デ・マッキ
De Micheli	デ・ミケーリ
De Nanni	デ・ナンニ
De Palma	デ・パルマ
De Paoli	デ・パオリ
De Piscopo	デ・ピスコポ
De Ponti	デ・ポンティ
De Riso	デ・リーゾ
