Abenius	アベニウス
Thern	テルン
Thorborg	トールボリ
Thordendal	トーデンダル
Thorén	トリアン（トーレン）
Thors	トーシュ
Thunberg	トゥーンバリ
Thuresson	トゥーレソン
Thyrestam	ティレスタム
Tiselius	ティセリウス
Tjellqvist	シェルクヴィスト
Tjellström	シェルストレーム
Tjernberg	シャーンバリ
Tonemar	トーネマール
Torling	トールリン
Törnblom	トルンブロム
Törnell	トルネル
Törngren	トルングレーン
Törnkvist	トルンクヴィスト
Törnquist	トルンクヴィスト
Törnqvist	トルンクヴィスト
Törnros	トルンロース
Torstensson	トルステンソン
Udden	ウデーン
Uddenberg	ウッデンバリ
Ullman	ウルマン
Valkare	ヴァルカーレ
Vallgårda	ヴァルゴーダ
Vennberg	ヴェンバリ
Vennervik	ヴェンネルヴィク
Vesal	ヴェサール
Vestlund	ヴェストルンド
Vikander	ヴィカンデル
Viklund	ヴィクルンド
Vikström	ヴィクストレーム
Vinkvist	ヴィンクヴィスト
Vinquist	ヴィンクヴィスト
Vinqvist	ヴィンクヴィスト
Vretblad	ヴレットブラード
Wachtmeister	ヴァクトマイステル
Wadensjö	ヴァーデンフェ
Wadström	ヴァドストレーム
Wåhlander	ヴォーランデル
Wahlgren	ヴァールグレーン
Wåhlin	ヴォーリーン
Wahlström	ヴァールストレーム
Waldegård	ヴァルデゴード
Waldenström	ヴァルデンストレーム
Waldner	ヴァルドネル
Walin	ヴァリーン
Wallander	ヴァランデル
Wallén	ヴァリアン
Wallenius	ヴァレニウス
Wallenquist	ヴァレンクヴィスト
Wallenqvist	ヴァレンクヴィスト
Wallin	ヴァリーン
Wallström	ヴァルストレーム
Warg	ヴァリ
Wassberg	ヴァッスバリ
Wästfelt	ヴェストフェルト
Weckström	ヴェックストレーム
Welander	ヴェランデル
Welin	ヴェリーン
Wellander	ヴェランデル
Wellin	ヴェリーン
Wennberg	ヴェンバリ
Wennerberg	ヴェンネルバリ
Wennerström	ヴェンナシュトレーム
Wernbloom	ヴァルンブローム
Wesström	ヴェストレーム
